berth_id,port_id,berth_max_length,berth_queue_length,berth_available_from,crane_availability_ratio,vessel_type
PORT_A_B00,PORT_A,150,1,2026-06-25T14:45:18.891561,0.9,Container
PORT_A_B01,PORT_A,300,1,2026-06-25T14:45:18.891595,0.9,Container
PORT_A_B02,PORT_A,380,1,2026-06-25T14:45:18.891600,0.9,Container
PORT_A_B03,PORT_A,300,1,2026-06-25T14:45:18.891604,0.3,Container
PORT_A_B04,PORT_A,340,1,2026-06-25T14:45:18.891608,0.3,Container
PORT_A_B05,PORT_A,340,1,2026-06-25T14:45:18.891612,0.9,Container
PORT_A_B06,PORT_A,200,1,2026-06-25T14:45:18.891616,0.9,Container
PORT_A_B07,PORT_A,260,0,2026-06-25T14:45:18.891620,0.9,Container
PORT_A_B08,PORT_A,150,1,2026-06-25T14:45:18.891624,0.9,Container
PORT_A_B09,PORT_A,260,1,2026-06-25T14:45:18.891627,0.9,Container
PORT_A_B10,PORT_A,180,1,2026-06-25T14:45:18.891631,0.9,Container
PORT_A_B11,PORT_A,180,1,2026-06-25T14:45:18.891640,0.9,Container
PORT_B_B00,PORT_B,300,1,2026-06-25T14:45:18.891643,0.9,Container
PORT_B_B01,PORT_B,200,1,2026-06-25T14:45:18.891647,0.9,Container
PORT_B_B02,PORT_B,260,1,2026-06-25T14:45:18.891650,0.9,Container
PORT_B_B03,PORT_B,180,1,2026-06-25T14:45:18.891654,0.9,Container
PORT_B_B04,PORT_B,260,1,2026-06-25T14:45:18.891657,0.9,Container
PORT_B_B05,PORT_B,340,1,2026-06-25T14:45:18.891661,0.3,Container
PORT_B_B06,PORT_B,180,0,2026-06-25T14:45:18.891665,0.9,Container
PORT_B_B07,PORT_B,260,1,2026-06-25T14:45:18.891669,0.9,Container
PORT_B_B08,PORT_B,150,1,2026-06-25T14:45:18.891672,0.9,Container
PORT_B_B09,PORT_B,200,1,2026-06-25T14:45:18.891675,0.3,Container
PORT_B_B10,PORT_B,180,0,2026-06-25T14:45:18.891679,0.9,Container
PORT_B_B11,PORT_B,300,1,2026-06-25T14:45:18.891682,0.9,Container
PORT_C_B00,PORT_C,180,0,2026-06-25T14:45:18.891685,0.9,Container
PORT_C_B01,PORT_C,230,1,2026-06-25T14:45:18.891689,0.9,Container
PORT_C_B02,PORT_C,340,1,2026-06-25T14:45:18.891693,0.9,Container
PORT_C_B03,PORT_C,150,1,2026-06-25T14:45:18.891696,0.9,Container
PORT_C_B04,PORT_C,150,1,2026-06-25T14:45:18.891700,0.3,Container
PORT_C_B05,PORT_C,300,1,2026-06-25T14:45:18.891703,0.9,Container
PORT_C_B06,PORT_C,340,0,2026-06-25T14:45:18.891708,0.9,Container
PORT_C_B07,PORT_C,180,1,2026-06-25T14:45:18.891711,0.9,Container
PORT_C_B08,PORT_C,180,1,2026-06-25T14:45:18.891715,0.9,Container
PORT_C_B09,PORT_C,380,1,2026-06-25T14:45:18.891718,0.9,Container
PORT_C_B10,PORT_C,180,1,2026-06-25T14:45:18.891722,0.9,Container
PORT_C_B11,PORT_C,340,1,2026-06-25T14:45:18.891725,0.9,Container
PORT_D_B00,PORT_D,200,1,2026-06-25T14:45:18.891728,0.9,Container
PORT_D_B01,PORT_D,200,1,2026-06-25T14:45:18.891731,0.9,Container
PORT_D_B02,PORT_D,230,1,2026-06-25T14:45:18.891735,0.9,Container
PORT_D_B03,PORT_D,260,1,2026-06-25T14:45:18.891738,0.9,Container
PORT_D_B04,PORT_D,300,1,2026-06-25T14:45:18.891741,0.9,Container
PORT_D_B05,PORT_D,380,1,2026-06-25T14:45:18.891745,0.9,Container
PORT_D_B06,PORT_D,380,1,2026-06-25T14:45:18.891749,0.9,Container
PORT_D_B07,PORT_D,260,1,2026-06-25T14:45:18.891752,0.9,Container
PORT_D_B08,PORT_D,380,1,2026-06-25T14:45:18.891755,0.9,Container
PORT_D_B09,PORT_D,180,1,2026-06-25T14:45:18.891758,0.3,Container
PORT_D_B10,PORT_D,150,1,2026-06-25T14:45:18.891762,0.9,Container
PORT_D_B11,PORT_D,230,1,2026-06-25T14:45:18.891765,0.9,Container
PORT_E_B00,PORT_E,150,1,2026-06-25T14:45:18.891768,0.9,Container
PORT_E_B01,PORT_E,340,1,2026-06-25T14:45:18.891772,0.9,Container
PORT_E_B02,PORT_E,260,0,2026-06-25T14:45:18.891775,0.9,Container
PORT_E_B03,PORT_E,300,1,2026-06-25T14:45:18.891778,0.9,Container
PORT_E_B04,PORT_E,380,0,2026-06-25T14:45:18.891782,0.9,Container
PORT_E_B05,PORT_E,230,0,2026-06-25T14:45:18.891785,0.9,Container
PORT_E_B06,PORT_E,340,1,2026-06-25T14:45:18.891789,0.9,Container
PORT_E_B07,PORT_E,150,1,2026-06-25T14:45:18.891792,0.9,Container
PORT_E_B08,PORT_E,200,0,2026-06-25T14:45:18.891795,0.9,Container
PORT_E_B09,PORT_E,230,1,2026-06-25T14:45:18.891799,0.9,Container
PORT_E_B10,PORT_E,200,0,2026-06-25T14:45:18.891802,0.9,Container
PORT_E_B11,PORT_E,300,1,2026-06-25T14:45:18.891805,0.9,Container
PORT_F_B00,PORT_F,260,1,2026-06-25T14:45:18.891809,0.9,Container
PORT_F_B01,PORT_F,340,0,2026-06-25T14:45:18.891812,0.9,Container
PORT_F_B02,PORT_F,380,0,2026-06-25T14:45:18.891815,0.3,Container
PORT_F_B03,PORT_F,380,1,2026-06-25T14:45:18.891819,0.9,Container
PORT_F_B04,PORT_F,230,1,2026-06-25T14:45:18.891822,0.9,Container
PORT_F_B05,PORT_F,340,0,2026-06-25T14:45:18.891826,0.3,Container
PORT_F_B06,PORT_F,150,1,2026-06-25T14:45:18.891829,0.9,Container
PORT_F_B07,PORT_F,180,0,2026-06-25T14:45:18.891834,0.9,Container
PORT_F_B08,PORT_F,150,0,2026-06-25T14:45:18.891838,0.9,Container
PORT_F_B09,PORT_F,340,0,2026-06-25T14:45:18.891843,0.9,Container
PORT_F_B10,PORT_F,230,1,2026-06-25T14:45:18.891846,0.3,Container
PORT_F_B11,PORT_F,230,0,2026-06-25T14:45:18.891850,0.9,Container
PORT_G_B00,PORT_G,180,1,2026-06-25T14:45:18.891853,0.9,Container
PORT_G_B01,PORT_G,230,1,2026-06-25T14:45:18.891856,0.9,Container
PORT_G_B02,PORT_G,200,1,2026-06-25T14:45:18.891860,0.9,Container
PORT_G_B03,PORT_G,340,1,2026-06-25T14:45:18.891863,0.9,Container
PORT_G_B04,PORT_G,300,0,2026-06-25T14:45:18.891867,0.9,Container
PORT_G_B05,PORT_G,380,1,2026-06-25T14:45:18.891871,0.9,Container
PORT_G_B06,PORT_G,150,1,2026-06-25T14:45:18.891874,0.9,Container
PORT_G_B07,PORT_G,150,0,2026-06-25T14:45:18.891877,0.9,Container
PORT_G_B08,PORT_G,180,1,2026-06-25T14:45:18.891881,0.9,Container
PORT_G_B09,PORT_G,150,1,2026-06-25T14:45:18.891886,0.9,Container
PORT_G_B10,PORT_G,340,1,2026-06-25T14:45:18.891889,0.9,Container
PORT_G_B11,PORT_G,230,1,2026-06-25T14:45:18.891893,0.9,Container
PORT_H_B00,PORT_H,200,1,2026-06-25T14:45:18.891896,0.9,Container
PORT_H_B01,PORT_H,180,1,2026-06-25T14:45:18.891899,0.9,Container
PORT_H_B02,PORT_H,230,1,2026-06-25T14:45:18.891902,0.9,Container
PORT_H_B03,PORT_H,340,1,2026-06-25T14:45:18.891906,0.3,Container
PORT_H_B04,PORT_H,300,1,2026-06-25T14:45:18.891909,0.9,Container
PORT_H_B05,PORT_H,150,1,2026-06-25T14:45:18.891914,0.9,Container
PORT_H_B06,PORT_H,150,1,2026-06-25T14:45:18.891917,0.9,Container
PORT_H_B07,PORT_H,260,1,2026-06-25T14:45:18.891920,0.9,Container
PORT_H_B08,PORT_H,180,1,2026-06-25T14:45:18.891924,0.9,Container
PORT_H_B09,PORT_H,300,1,2026-06-25T14:45:18.891928,0.9,Container
PORT_H_B10,PORT_H,180,1,2026-06-25T14:45:18.891931,0.9,Container
PORT_H_B11,PORT_H,260,1,2026-06-25T14:45:18.891934,0.9,Container
