iter	MAE
0	14.75129066
1	14.34867728
2	13.96574725
3	13.61581803
4	13.28369385
5	12.96232484
6	12.64023613
7	12.34253659
8	12.03572033
9	11.74571409
10	11.4868128
11	11.22188587
12	10.99038168
13	10.75994848
14	10.54856534
15	10.34245067
16	10.16257335
17	9.979525638
18	9.829990392
19	9.668473997
20	9.526679344
21	9.378149406
22	9.235794954
23	9.102439414
24	8.966193032
25	8.829874602
26	8.718884065
27	8.602120233
28	8.497351642
29	8.3986171
30	8.298588578
31	8.208423976
32	8.113407302
33	8.030403611
34	7.950797894
35	7.866345748
36	7.790514724
37	7.715207757
38	7.654353451
39	7.59226667
40	7.526811494
41	7.464664855
42	7.413642257
43	7.359504228
44	7.30607101
45	7.262508509
46	7.219291382
47	7.176231942
48	7.138877821
49	7.100882075
50	7.060790827
51	7.026446218
52	6.989540477
53	6.953261809
54	6.921851953
55	6.889176859
56	6.856098276
57	6.830008509
58	6.802714748
59	6.780023957
60	6.758611551
61	6.73373464
62	6.711786623
63	6.693592514
64	6.672671506
65	6.650988308
66	6.628250825
67	6.610048258
68	6.593123587
69	6.573470276
70	6.55759031
71	6.544659899
72	6.529789179
73	6.517192126
74	6.503552955
75	6.49151857
76	6.478211424
77	6.462999748
78	6.450780456
79	6.437471541
80	6.4273934
81	6.417930482
82	6.411883447
83	6.401009704
84	6.390969764
85	6.380834538
86	6.369431557
87	6.362124476
88	6.35515875
89	6.347982654
90	6.340611836
91	6.332923178
92	6.324310535
93	6.315013479
94	6.306494019
95	6.300374735
96	6.291400911
97	6.281942918
98	6.274332261
99	6.268572805
100	6.261862644
101	6.253868181
102	6.247640732
103	6.240228563
104	6.234146963
105	6.226189908
106	6.220917951
107	6.213592111
108	6.2067643
109	6.1988766
110	6.1945311
111	6.188480812
112	6.182134642
113	6.178013
114	6.171780528
115	6.164942309
116	6.162153297
117	6.157596306
118	6.152156467
119	6.147499409
120	6.14046318
121	6.135345227
122	6.129760265
123	6.124985628
124	6.119472869
125	6.117988799
126	6.113284549
127	6.108509751
128	6.103186669
129	6.097316957
130	6.092364294
131	6.087222048
132	6.085037489
133	6.078502784
134	6.075779669
135	6.071931564
136	6.06909049
137	6.063587044
138	6.059867513
139	6.053956754
140	6.046837396
141	6.043593262
142	6.040061361
143	6.035920628
144	6.03239401
145	6.029521732
146	6.025596999
147	6.020279359
148	6.016032798
149	6.014788302
150	6.011234696
151	6.004947887
152	6.002138487
153	5.99769508
154	5.995035507
155	5.990714861
156	5.987408351
157	5.985203118
158	5.981682551
159	5.977384812
160	5.971672293
161	5.966667661
162	5.964274033
163	5.960708438
164	5.958364773
165	5.954811135
166	5.951081253
167	5.946818901
168	5.943725363
169	5.940043434
170	5.937681543
171	5.93530848
172	5.932817053
173	5.927244404
174	5.923646992
175	5.923116401
176	5.920861986
177	5.91536552
178	5.911247492
179	5.905422438
180	5.903558371
181	5.903075881
182	5.896890496
183	5.894433737
184	5.892288534
185	5.889854749
186	5.88648929
187	5.883842208
188	5.878810889
189	5.876126654
190	5.871730507
191	5.86915465
192	5.868533682
193	5.862413753
194	5.858925338
195	5.856379423
196	5.854573764
197	5.851651249
198	5.84690467
199	5.844983788
200	5.841888536
201	5.838433926
202	5.836240794
203	5.833340356
204	5.829690847
205	5.826350878
206	5.823166959
207	5.819911945
208	5.816552922
209	5.813325518
210	5.810832659
211	5.809071728
212	5.802711545
213	5.798193496
214	5.79398155
215	5.792020131
216	5.788254669
217	5.78659079
218	5.784588449
219	5.782265477
220	5.780690828
221	5.778188606
222	5.774179073
223	5.77018791
224	5.767192743
225	5.76564245
226	5.763702408
227	5.761259608
228	5.757952919
229	5.754221793
230	5.752328785
231	5.750534406
232	5.747659076
233	5.742905509
234	5.740503677
235	5.736785097
236	5.732328708
237	5.728728155
238	5.725399697
239	5.72235055
240	5.717217747
241	5.715342651
242	5.711261129
243	5.708481664
244	5.706518838
245	5.703356529
246	5.699670338
247	5.695272454
248	5.693043473
249	5.6891469
250	5.685242205
251	5.680958505
252	5.676657008
253	5.673789977
254	5.670511277
255	5.665162991
256	5.659676576
257	5.657432626
258	5.654531079
259	5.652071685
260	5.65030169
261	5.644740629
262	5.641215715
263	5.636333099
264	5.633819186
265	5.632463974
266	5.627642026
267	5.625853222
268	5.62166383
269	5.619315412
270	5.616306196
271	5.612852911
272	5.610188447
273	5.603987577
274	5.597873848
275	5.595017446
276	5.590284897
277	5.587521842
278	5.585295734
279	5.581904894
280	5.578107826
281	5.575465704
282	5.572973399
283	5.568040228
284	5.565706925
285	5.560234747
286	5.557257422
287	5.554831381
288	5.551249298
289	5.548136941
290	5.54682731
291	5.543807174
292	5.542168195
293	5.539545793
294	5.537137202
295	5.534460801
296	5.530622721
297	5.526814418
298	5.523839836
299	5.520547722
300	5.514673926
301	5.511675553
302	5.509159601
303	5.507554159
304	5.502976568
305	5.500878645
306	5.496962277
307	5.493888758
308	5.491307187
309	5.488620056
310	5.485923894
311	5.482639103
312	5.478949711
