iter	Passed	Remaining
0	65	130386
1	81	81139
2	96	63948
3	109	54501
4	121	48579
5	134	44725
6	147	42024
7	158	39454
8	170	37708
9	184	36788
10	197	35644
11	209	34650
12	219	33619
13	236	33565
14	248	32881
15	260	32315
16	274	31963
17	286	31551
18	299	31192
19	316	31297
20	328	30922
21	340	30616
22	352	30267
23	363	29928
24	374	29559
25	385	29264
26	395	28911
27	406	28638
28	416	28337
29	428	28121
30	438	27865
31	449	27671
32	462	27566
33	474	27450
34	490	27523
35	501	27379
36	513	27250
37	524	27071
38	535	26931
39	545	26742
40	556	26593
41	566	26430
42	579	26352
43	589	26188
44	601	26137
45	612	26004
46	623	25888
47	634	25783
48	645	25703
49	656	25590
50	667	25515
51	678	25399
52	689	25343
53	704	25374
54	716	25325
55	726	25219
56	740	25231
57	752	25203
58	764	25163
59	777	25131
60	789	25094
61	800	25025
62	811	24953
63	824	24948
64	836	24900
65	848	24865
66	859	24811
67	871	24770
68	882	24691
69	893	24640
70	904	24568
71	915	24516
72	926	24458
73	938	24438
74	951	24422
75	963	24386
76	974	24344
77	986	24311
78	998	24274
79	1009	24239
80	1021	24201
81	1031	24134
82	1038	23976
83	1048	23916
84	1059	23861
85	1069	23808
86	1079	23746
87	1090	23685
88	1100	23620
89	1112	23603
90	1123	23563
91	1133	23506
92	1147	23535
93	1165	23637
94	1177	23610
95	1189	23584
96	1200	23543
97	1210	23500
98	1221	23450
99	1232	23409
100	1242	23357
101	1254	23350
102	1266	23322
103	1277	23297
104	1288	23254
105	1299	23227
106	1310	23186
107	1320	23136
108	1332	23109
109	1342	23061
110	1353	23033
111	1364	22996
112	1375	22965
113	1387	22948
114	1397	22913
115	1409	22891
116	1420	22855
117	1430	22807
118	1441	22778
119	1452	22751
120	1462	22706
121	1473	22687
122	1484	22658
123	1495	22631
124	1507	22608
125	1509	22455
126	1522	22457
127	1534	22434
128	1544	22403
129	1555	22371
130	1565	22335
131	1577	22321
132	1587	22288
133	1598	22264
134	1609	22232
135	1619	22199
136	1629	22162
137	1640	22128
138	1651	22105
139	1661	22078
140	1673	22068
141	1685	22049
142	1695	22017
143	1705	21986
144	1716	21962
145	1728	21955
146	1739	21932
147	1751	21914
148	1761	21879
149	1764	21767
150	1775	21735
151	1785	21708
152	1797	21702
153	1807	21669
154	1819	21657
155	1830	21638
156	1840	21607
157	1852	21597
158	1863	21576
159	1873	21547
160	1886	21544
161	1896	21516
162	1904	21462
163	1915	21440
164	1926	21421
165	1938	21412
166	1949	21392
167	1960	21377
168	1971	21359
169	1981	21332
170	1992	21314
171	2004	21306
172	2015	21288
173	2027	21272
174	2037	21252
175	2042	21162
176	2053	21151
177	2065	21144
178	2075	21119
179	2087	21109
180	2098	21087
181	2102	20998
182	2112	20978
183	2122	20952
184	2133	20929
185	2144	20914
186	2155	20902
187	2166	20884
188	2177	20864
189	2187	20835
190	2198	20824
191	2210	20816
192	2214	20736
193	2225	20716
194	2235	20692
195	2246	20678
196	2257	20663
197	2269	20652
198	2279	20634
199	2291	20620
200	2301	20601
201	2314	20597
202	2325	20589
203	2337	20582
204	2348	20567
205	2359	20547
206	2370	20531
207	2381	20518
208	2393	20512
209	2405	20505
210	2416	20491
211	2430	20494
212	2441	20486
213	2453	20474
214	2463	20454
215	2474	20433
216	2485	20418
217	2495	20400
218	2506	20381
219	2516	20361
220	2528	20353
221	2539	20338
222	2550	20326
223	2561	20312
224	2573	20302
225	2583	20279
226	2593	20260
227	2604	20241
228	2614	20221
229	2625	20204
230	2635	20180
231	2646	20169
232	2658	20158
233	2669	20145
234	2679	20125
235	2690	20112
236	2703	20108
237	2714	20096
238	2724	20076
239	2735	20057
240	2748	20063
241	2759	20046
242	2771	20036
243	2781	20019
244	2792	20003
245	2802	19981
246	2812	19963
247	2824	19951
248	2834	19933
249	2845	19915
250	2855	19899
251	2865	19879
252	2877	19869
253	2888	19854
254	2900	19846
255	2911	19835
256	2922	19823
257	2934	19812
258	2945	19801
259	2955	19779
260	2967	19773
261	2978	19758
262	2989	19742
263	3001	19740
264	3013	19728
265	3025	19720
266	3036	19708
267	3047	19695
268	3057	19677
269	3070	19672
270	3081	19658
271	3092	19648
272	3103	19633
273	3115	19622
274	3127	19617
275	3138	19601
276	3148	19584
277	3160	19578
278	3173	19574
279	3185	19567
280	3197	19563
281	3212	19570
282	3225	19567
283	3239	19576
284	3250	19562
285	3261	19547
286	3271	19523
287	3281	19507
288	3292	19494
289	3304	19483
290	3314	19466
291	3325	19451
292	3336	19440
293	3348	19429
294	3359	19414
295	3370	19405
296	3381	19390
297	3392	19375
298	3404	19365
299	3414	19347
300	3426	19339
301	3437	19328
302	3448	19316
303	3460	19305
304	3471	19293
305	3481	19275
306	3492	19261
307	3504	19250
308	3515	19235
309	3527	19228
310	3538	19218
311	3550	19209
312	3561	19194
