berth_id,port_code,max_length,max_draft,has_crane,priority,status,occupying_vessel_id
PORT_A_B00,PORT_A,150,14.9,True,4,Occupied,VSL-0101
PORT_A_B01,PORT_A,300,18.7,True,4,Cleaning,
PORT_A_B02,PORT_A,380,18.1,True,5,Reserved,VSL-0423
PORT_A_B03,PORT_A,300,18.2,False,4,Reserved,VSL-0034
PORT_A_B04,PORT_A,340,13.8,False,1,Occupied,VSL-0230
PORT_A_B05,PORT_A,340,13.5,True,4,Occupied,VSL-0450
PORT_A_B06,PORT_A,200,19.7,True,5,Reserved,VSL-0187
PORT_A_B07,PORT_A,260,17.8,True,1,Available,
PORT_A_B08,PORT_A,150,13.9,True,2,Reserved,VSL-0586
PORT_A_B09,PORT_A,260,14.8,True,5,Occupied,VSL-0151
PORT_A_B10,PORT_A,180,21.9,True,1,Reserved,VSL-0200
PORT_A_B11,PORT_A,180,20.4,True,3,Occupied,VSL-0439
PORT_B_B00,PORT_B,300,17.3,True,2,Occupied,VSL-0300
PORT_B_B01,PORT_B,200,20.5,True,1,Reserved,VSL-0220
PORT_B_B02,PORT_B,260,15.7,True,5,Occupied,VSL-0325
PORT_B_B03,PORT_B,180,21.7,True,1,Occupied,VSL-0282
PORT_B_B04,PORT_B,260,16.9,True,3,Occupied,VSL-0298
PORT_B_B05,PORT_B,340,12.4,False,5,Maintenance,
PORT_B_B06,PORT_B,180,15.6,True,2,Available,
PORT_B_B07,PORT_B,260,13.1,True,4,Occupied,VSL-0010
PORT_B_B08,PORT_B,150,13.5,True,1,Occupied,VSL-0513
PORT_B_B09,PORT_B,200,19.3,False,3,Occupied,VSL-0020
PORT_B_B10,PORT_B,180,19.2,True,4,Available,
PORT_B_B11,PORT_B,300,20.6,True,1,Occupied,VSL-0086
PORT_C_B00,PORT_C,180,19.2,True,4,Available,
PORT_C_B01,PORT_C,230,18.9,True,3,Occupied,VSL-0583
PORT_C_B02,PORT_C,340,21.1,True,3,Occupied,VSL-0029
PORT_C_B03,PORT_C,150,13.9,True,2,Occupied,VSL-0580
PORT_C_B04,PORT_C,150,18.7,False,2,Maintenance,
PORT_C_B05,PORT_C,300,13.9,True,4,Reserved,VSL-0596
PORT_C_B06,PORT_C,340,14.2,True,1,Available,
PORT_C_B07,PORT_C,180,12.3,True,5,Cleaning,
PORT_C_B08,PORT_C,180,17.8,True,2,Maintenance,
PORT_C_B09,PORT_C,380,19.6,True,1,Reserved,VSL-0113
PORT_C_B10,PORT_C,180,19.0,True,5,Occupied,VSL-0192
PORT_C_B11,PORT_C,340,14.0,True,1,Reserved,VSL-0207
PORT_D_B00,PORT_D,200,15.8,True,3,Occupied,VSL-0084
PORT_D_B01,PORT_D,200,17.4,True,2,Occupied,VSL-0174
PORT_D_B02,PORT_D,230,14.4,True,4,Occupied,VSL-0315
PORT_D_B03,PORT_D,260,20.4,True,4,Occupied,VSL-0208
PORT_D_B04,PORT_D,300,13.4,True,2,Occupied,VSL-0306
PORT_D_B05,PORT_D,380,21.7,True,5,Occupied,VSL-0505
PORT_D_B06,PORT_D,380,15.0,True,4,Occupied,VSL-0265
PORT_D_B07,PORT_D,260,21.1,True,5,Occupied,VSL-0009
PORT_D_B08,PORT_D,380,20.5,True,4,Occupied,VSL-0260
PORT_D_B09,PORT_D,180,14.1,False,2,Occupied,VSL-0493
PORT_D_B10,PORT_D,150,18.5,True,1,Occupied,VSL-0443
PORT_D_B11,PORT_D,230,13.9,True,5,Reserved,VSL-0281
PORT_E_B00,PORT_E,150,14.6,True,4,Occupied,VSL-0414
PORT_E_B01,PORT_E,340,15.0,True,4,Occupied,VSL-0375
PORT_E_B02,PORT_E,260,17.0,True,3,Available,
PORT_E_B03,PORT_E,300,15.3,True,4,Reserved,VSL-0239
PORT_E_B04,PORT_E,380,15.3,True,2,Available,
PORT_E_B05,PORT_E,230,19.9,True,3,Available,
PORT_E_B06,PORT_E,340,14.4,True,5,Occupied,VSL-0065
PORT_E_B07,PORT_E,150,21.5,True,2,Occupied,VSL-0199
PORT_E_B08,PORT_E,200,14.1,True,5,Available,
PORT_E_B09,PORT_E,230,14.6,True,5,Occupied,VSL-0126
PORT_E_B10,PORT_E,200,21.9,True,1,Available,
PORT_E_B11,PORT_E,300,13.3,True,3,Occupied,VSL-0562
PORT_F_B00,PORT_F,260,13.0,True,5,Occupied,VSL-0522
PORT_F_B01,PORT_F,340,12.5,True,4,Available,
PORT_F_B02,PORT_F,380,17.4,False,1,Available,
PORT_F_B03,PORT_F,380,16.8,True,1,Occupied,VSL-0295
PORT_F_B04,PORT_F,230,16.5,True,5,Occupied,VSL-0120
PORT_F_B05,PORT_F,340,16.8,False,3,Available,
PORT_F_B06,PORT_F,150,12.8,True,1,Occupied,VSL-0370
PORT_F_B07,PORT_F,180,20.9,True,2,Available,
PORT_F_B08,PORT_F,150,18.3,True,1,Available,
PORT_F_B09,PORT_F,340,16.6,True,1,Available,
PORT_F_B10,PORT_F,230,20.9,False,5,Maintenance,
PORT_F_B11,PORT_F,230,14.4,True,1,Available,
PORT_G_B00,PORT_G,180,13.0,True,5,Reserved,VSL-0508
PORT_G_B01,PORT_G,230,14.6,True,2,Occupied,VSL-0572
PORT_G_B02,PORT_G,200,18.3,True,5,Reserved,VSL-0543
PORT_G_B03,PORT_G,340,21.5,True,4,Occupied,VSL-0448
PORT_G_B04,PORT_G,300,16.6,True,2,Available,
PORT_G_B05,PORT_G,380,16.4,True,4,Occupied,VSL-0353
PORT_G_B06,PORT_G,150,17.2,True,4,Occupied,VSL-0311
PORT_G_B07,PORT_G,150,21.0,True,1,Available,
PORT_G_B08,PORT_G,180,16.4,True,1,Occupied,VSL-0571
PORT_G_B09,PORT_G,150,18.3,True,5,Occupied,VSL-0416
PORT_G_B10,PORT_G,340,14.3,True,1,Occupied,VSL-0384
PORT_G_B11,PORT_G,230,15.1,True,1,Reserved,VSL-0266
PORT_H_B00,PORT_H,200,12.1,True,1,Occupied,VSL-0337
PORT_H_B01,PORT_H,180,20.7,True,1,Reserved,VSL-0347
PORT_H_B02,PORT_H,230,19.4,True,5,Occupied,VSL-0368
PORT_H_B03,PORT_H,340,20.1,False,3,Occupied,VSL-0382
PORT_H_B04,PORT_H,300,15.7,True,5,Occupied,VSL-0445
PORT_H_B05,PORT_H,150,16.4,True,1,Reserved,VSL-0547
PORT_H_B06,PORT_H,150,12.6,True,3,Occupied,VSL-0307
PORT_H_B07,PORT_H,260,12.3,True,1,Occupied,VSL-0037
PORT_H_B08,PORT_H,180,21.4,True,3,Reserved,VSL-0141
PORT_H_B09,PORT_H,300,12.8,True,2,Occupied,VSL-0487
PORT_H_B10,PORT_H,180,16.2,True,4,Reserved,VSL-0313
PORT_H_B11,PORT_H,260,21.2,True,5,Occupied,VSL-0071
