vessel_id,mmsi,vessel_type,loa_m,draft_m,gross_tonnage,engine_power_kw,vessel_age_years,latitude,longitude,speed_knots,heading,distance_to_port_nm,timestamp,scheduled_eta,month,hour,day_of_week,is_weekend,estimated_service_time_hours,is_night,wind_speed_knots,wave_height_m,visibility_km,precipitation_mm,temperature_c,port_id,berth_id,berth_available_from,berth_max_length,berth_queue_length,crane_availability_ratio,port_congestion_index,traffic_density,port_avg_delay_last_24h,actual_delay_minutes,actual_arrival_time,assigned_berth,berth_waiting_time,berth_conflict_flag,congestion_level_future,queue_length_future
V00427,725747314,LNG Carrier,334.6,10.16,121204,57496,15.6,51.6424,78.2633,17.3,189,99.8,2024-11-21T21:13:49,2024-11-22T02:59:27.849620,11,21,3,0,16.8,1,18.3,2.12,16.8,0.4,17.5,PORT_G,PORT_G_B06,2024-11-21T21:13:49,380,5,0.818,0.432,Medium,27.4,69.4,2024-11-22T04:08:51.849620,PORT_G_B06,41.5,1,0.849,5
V00360,484161613,General Cargo,175.7,8.69,17363,7448,3.4,54.1776,86.0383,12.0,357,49.4,2024-11-25T21:15:05,2024-11-26T01:22:31.654217,11,21,0,0,34.6,1,3.8,0.27,13.3,0.1,13.0,PORT_H,PORT_H_B02,2024-11-25T21:15:05,180,7,0.7,0.513,Medium,27.5,69.9,2024-11-26T02:32:25.654217,PORT_H_B02,61.3,1,1.0,10
V00460,462205000,Tanker,296.4,15.29,65165,28206,21.5,45.0347,69.6233,14.0,95,22.7,2023-05-26T02:31:31,2023-05-26T04:08:35.303591,5,2,4,0,19.9,1,15.6,1.63,13.8,0.0,22.7,PORT_F,PORT_F_B08,2023-05-26T02:31:31,300,2,0.765,0.247,Low,13.2,37.7,2023-05-26T04:46:17.303591,PORT_F_B08,32.9,0,0.48,0
V00337,773523189,Bulk Carrier,279.3,13.54,56400,34250,11.6,54.5995,85.6427,14.1,41,32.2,2023-10-13T07:50:34,2023-10-13T10:07:51.607503,10,7,4,0,33.6,0,5.1,0.32,12.5,0.0,10.6,PORT_H,PORT_H_B00,2023-10-13T07:50:34,340,4,0.862,0.205,Low,9.0,27.3,2023-10-13T10:35:09.607503,PORT_H_B00,38.4,0,0.548,7
V00174,556681426,Container,262.1,11.62,84399,41619,0.5,39.9188,61.9813,17.1,12,5.0,2024-09-14T06:28:58,2024-09-14T06:46:32.275904,9,6,5,1,6.6,0,24.3,2.22,14.1,0.0,16.7,PORT_E,PORT_E_B10,2024-09-14T06:28:58,340,5,0.762,0.52,Medium,23.5,75.4,2024-09-14T08:01:56.275904,PORT_E_B10,51.2,1,0.939,4
V00225,434978882,Car Carrier,164.1,8.17,27521,19317,2.4,48.4921,77.704,17.6,11,92.2,2023-03-03T07:18:21,2023-03-03T12:33:22.725794,3,7,4,0,17.8,0,6.4,0.43,12.7,0.0,17.7,PORT_G,PORT_G_B00,2023-03-03T07:18:21,260,4,0.799,0.327,Low,16.6,34.8,2023-03-03T13:08:10.725794,PORT_G_B00,39.2,0,0.541,5
V00284,375842195,Car Carrier,145.3,9.01,13579,13708,34.5,31.2236,45.7065,15.7,166,75.5,2024-02-28T16:22:47,2024-02-28T21:11:48.794739,2,16,2,0,13.4,0,4.8,0.31,19.7,0.2,15.5,PORT_C,PORT_C_B02,2024-02-28T16:22:47,380,5,0.73,0.497,Medium,38.0,52.9,2024-02-28T22:04:42.794739,PORT_C_B02,52.7,1,0.826,6
V00321,218514814,Tanker,248.2,9.74,91632,25517,6.2,25.0975,38.0432,12.7,203,6.4,2023-03-04T04:35:33,2023-03-04T05:05:44.305988,3,4,5,1,14.5,1,13.9,1.28,15.3,0.0,19.0,PORT_B,PORT_B_B02,2023-03-04T04:35:33,300,4,0.863,0.246,Low,20.4,37.1,2023-03-04T05:42:50.305988,PORT_B_B02,33.5,0,0.708,6
V00477,517690560,Tanker,259.0,13.08,73298,46751,9.3,40.027,62.2083,13.4,262,12.6,2023-08-27T01:29:48,2023-08-27T02:26:22.787540,8,1,6,1,18.3,1,18.1,1.25,13.2,0.0,19.9,PORT_E,PORT_E_B03,2023-08-27T01:29:48,300,5,0.767,0.487,Medium,35.7,61.8,2023-08-27T03:28:10.787540,PORT_E_B03,50.0,1,0.942,9
V00276,465518425,RoRo,119.6,7.56,43868,13678,8.6,50.344,76.6946,14.6,104,81.0,2023-05-10T10:29:01,2023-05-10T16:02:46.713992,5,10,2,0,26.1,0,19.9,2.22,18.0,0.0,25.5,PORT_G,PORT_G_B01,2023-05-10T10:29:01,180,6,0.683,0.534,Medium,20.2,93.2,2023-05-10T17:35:58.713992,PORT_G_B01,49.7,1,0.9,6
V00219,278198717,VLCC,314.1,18.88,94915,106775,3.4,45.1212,69.8624,13.4,131,11.0,2023-12-14T07:06:03,2023-12-14T07:55:17.197049,12,7,3,0,5.4,0,5.6,0.42,10.5,2.5,11.5,PORT_F,PORT_F_B11,2023-12-14T07:06:03,340,9,0.683,0.642,Medium,40.0,65.7,2023-12-14T09:00:59.197049,PORT_F_B11,73.2,1,0.95,9
V00297,313321497,LNG Carrier,284.8,10.79,118682,65542,4.8,45.1752,69.046,18.1,100,58.2,2024-04-22T13:39:44,2024-04-22T16:53:01.533926,4,13,0,0,35.9,0,12.0,1.04,12.6,0.0,12.2,PORT_F,PORT_F_B04,2024-04-22T13:39:44,340,5,0.767,0.421,Low,28.6,46.3,2024-04-22T17:39:19.533926,PORT_F_B04,41.6,1,0.793,10
V00012,565341214,General Cargo,118.9,6.36,34005,8351,2.6,38.9727,62.24,12.8,346,63.3,2024-05-11T16:34:18,2024-05-11T21:30:21.871814,5,16,5,1,35.4,0,11.7,1.18,17.9,0.0,24.6,PORT_E,PORT_E_B06,2024-05-11T16:34:18,380,4,0.787,0.52,Medium,29.6,44.9,2024-05-11T22:15:15.871814,PORT_E_B06,45.2,0,0.868,11
V00362,792697162,Container,325.3,14.59,46504,23005,0.7,18.8582,30.1374,17.5,353,69.0,2023-02-28T06:52:07,2023-02-28T10:48:46.609644,2,6,1,0,25.5,0,3.6,0.25,16.6,1.2,17.8,PORT_A,PORT_A_B11,2023-02-28T06:52:07,340,7,0.643,0.752,Medium,44.4,63.2,2023-02-28T11:51:58.609644,PORT_A_B11,58.0,1,1.0,10
V00195,778158428,Container,237.7,13.57,25142,45825,7.3,47.6704,80.5469,16.6,312,207.1,2023-10-10T04:36:37,2023-10-10T17:07:13.755147,10,4,1,0,20.4,1,1.9,0.13,18.2,0.0,14.8,PORT_G,PORT_G_B04,2023-10-10T04:36:37,300,5,0.702,0.673,Medium,43.1,64.6,2023-10-10T18:11:49.755147,PORT_G_B04,44.1,1,1.0,7
V00573,791991696,LNG Carrier,305.1,11.03,123114,61299,3.5,29.6144,46.1,18.7,345,23.9,2023-01-25T04:30:11,2023-01-25T05:46:42.353151,1,4,2,0,8.6,1,2.2,0.15,10.5,8.2,13.3,PORT_C,PORT_C_B02,2024-02-29T11:28:44.686208,380,4,0.712,0.494,Medium,28.7,35.5,2023-01-25T06:22:12.353151,PORT_C_B02,576345.5,1,0.848,5
V00300,667600763,RoRo,162.3,7.92,8948,15507,3.8,54.7885,86.1364,16.3,327,15.1,2023-01-28T00:41:59,2023-01-28T01:37:32.093929,1,0,5,1,8.0,1,1.0,0.05,14.7,0.3,8.8,PORT_H,PORT_H_B09,2023-01-28T00:41:59,180,4,0.847,0.177,Low,3.3,17.2,2023-01-28T01:54:44.093929,PORT_H_B09,36.2,0,0.615,4
V00581,291659288,Container,192.0,15.84,42612,36601,2.9,33.7498,51.8293,16.7,60,150.3,2024-08-27T16:34:42,2024-08-28T01:33:16.629982,8,16,1,0,24.6,0,19.3,2.18,13.0,0.0,23.6,PORT_D,PORT_D_B11,2024-08-27T16:34:42,230,5,0.66,0.476,Medium,31.5,70.0,2024-08-28T02:43:16.629982,PORT_D_B11,40.3,1,0.943,8
V00092,499012687,Tanker,180.0,16.14,86636,41251,26.2,47.3797,69.1608,13.8,160,151.4,2023-10-25T08:55:23,2023-10-25T19:54:46.239825,10,8,2,0,34.4,0,12.2,0.89,17.6,0.0,18.4,PORT_F,PORT_F_B10,2023-10-25T08:55:23,340,4,0.703,0.506,Medium,30.7,61.0,2023-10-25T20:55:46.239825,PORT_F_B10,32.5,0,0.734,5
V00100,305675388,General Cargo,149.8,7.68,15833,15206,9.2,20.1013,30.3,12.3,251,19.0,2024-04-14T23:47:06,2024-04-15T01:20:02.164264,4,23,6,1,8.9,1,5.4,0.39,15.9,0.0,26.4,PORT_A,PORT_A_B11,2024-04-14T23:47:06,340,3,0.871,0.396,Medium,29.7,42.3,2024-04-15T02:02:20.164264,PORT_A_B11,27.3,0,0.665,0
V00171,454194772,Feeder,73.3,4.11,8136,4953,0.5,54.4759,85.8026,12.2,20,33.6,2023-10-16T03:16:46,2023-10-16T06:01:51.680584,10,3,0,0,15.9,1,3.7,0.31,19.4,0.0,14.2,PORT_H,PORT_H_B09,2023-10-16T03:16:46,180,5,0.674,0.547,Medium,30.8,49.4,2023-10-16T06:51:15.680584,PORT_H_B09,50.0,1,1.0,6
V00338,248872111,Container,218.5,13.02,59866,29025,3.7,24.9867,38.0412,18.7,287,2.6,2024-03-21T18:40:38,2024-03-21T18:48:57.830707,3,18,3,0,8.4,0,2.4,0.1,12.3,0.0,17.8,PORT_B,PORT_B_B00,2024-03-21T18:40:38,340,7,0.737,0.538,Medium,27.0,49.5,2024-03-21T19:38:27.830707,PORT_B_B00,72.9,1,0.93,11
V00227,798509919,Tanker,172.9,18.36,63553,36626,7.2,46.6241,69.7285,14.0,170,98.8,2023-11-06T03:53:32,2023-11-06T10:55:51.343196,11,3,0,0,14.1,1,5.9,0.43,20.5,0.2,8.4,PORT_F,PORT_F_B10,2023-11-06T03:53:32,340,6,0.643,0.584,Medium,38.1,50.9,2023-11-06T11:46:45.343196,PORT_F_B10,49.2,1,1.0,8
V00280,434037647,Tanker,188.4,10.84,21373,48138,8.7,40.0364,62.0656,14.2,240,4.5,2023-07-13T21:05:54,2023-07-13T21:24:55.010229,7,21,3,0,34.7,1,3.3,0.17,14.6,0.0,33.7,PORT_E,PORT_E_B08,2023-07-13T21:05:54,200,0,0.829,0.116,Low,0.1,3.1,2023-07-13T21:28:01.010229,PORT_E_B08,3.5,0,0.105,1
V00586,641102415,General Cargo,139.1,8.31,7745,11167,9.9,19.4278,30.6795,11.3,310,53.3,2024-07-25T09:58:24,2024-07-25T14:40:50.585075,7,9,3,0,10.0,0,11.7,1.22,17.0,0.0,29.6,PORT_A,PORT_A_B09,2024-07-25T09:58:24,180,4,0.753,0.396,Low,27.3,48.3,2024-07-25T15:29:08.585075,PORT_A_B09,33.0,0,0.761,4
V00589,535489453,Feeder,67.2,5.54,8615,3584,21.6,50.3553,78.9969,10.6,250,63.5,2024-12-10T13:39:59,2024-12-10T19:39:05.544588,12,13,1,0,22.0,0,6.5,0.46,14.4,0.5,7.5,PORT_G,PORT_G_B04,2024-12-10T13:39:59,300,3,0.666,0.432,Low,23.5,48.7,2024-12-10T20:27:47.544588,PORT_G_B04,31.5,0,0.82,3
V00073,284564738,LNG Carrier,286.7,11.92,133374,57831,0.6,39.8625,64.381,18.5,273,143.1,2024-08-24T22:23:06,2024-08-25T06:06:54.073539,8,22,5,1,12.3,1,4.3,0.21,26.4,0.0,25.1,PORT_E,PORT_E_B03,2024-08-24T22:23:06,300,6,0.711,0.52,Medium,25.0,53.5,2024-08-25T07:00:24.073539,PORT_E_B03,51.4,1,0.87,8
V00477,517690560,Tanker,259.0,13.08,73298,46751,9.3,54.692,85.8105,14.0,31,21.7,2023-06-16T15:52:57,2023-06-16T17:25:38.090459,6,15,4,0,35.9,0,9.4,0.66,14.0,0.0,27.5,PORT_H,PORT_H_B04,2023-06-16T15:52:57,260,3,0.916,0.104,Low,-1.0,23.1,2023-06-16T17:48:44.090459,PORT_H_B04,32.3,0,0.368,3
